,FG,Counts_PC9,Counts_ANI,Counts_QM9,Counts_TautoA,Counts_TautoB
secondary alcohol,secondary alcohol,5956,4268,17761,3,7
"1,2-aminoalcohol","1,2-aminoalcohol",1726,1485,2749,0,0
primary amine,primary amine,9950,8700,6846,134,7
primary aliphatic amine (alkylamine),primary aliphatic amine (alkylamine),8658,7303,2300,2,7
ketone,ketone,6274,2694,14478,272,7
tertiary alcohol,tertiary alcohol,1570,1234,10797,0,0
carboxylic acid,carboxylic acid,3820,757,0,7,7
alpha-hydroxyacid,alpha-hydroxyacid,154,42,11,1,0
aldehyde,aldehyde,3641,3448,13514,20,7
alpha-aminoacid,alpha-aminoacid,370,76,11,0,0
carboxylic acid ester,carboxylic acid ester,3700,1228,5290,137,7
lactone,lactone,1244,553,3074,33,7
heterocyclic compound,heterocyclic compound,39585,29533,90651,990,7
carbonitrile,carbonitrile,4474,3517,16421,42,7
aromatic compound,aromatic compound,12231,7888,20728,884,7
primary alcohol,primary alcohol,7007,4155,13199,5,7
phenol or hydroxyhetarene,phenol or hydroxyhetarene,1351,1415,3589,265,7
urea,urea,327,459,1196,8,7
primary aromatic amine,primary aromatic amine,1315,1436,4559,132,7
"1,2-diol","1,2-diol",944,487,2877,2,7
primary carboxylic acid amide,primary carboxylic acid amide,384,792,2256,5,7
guanidine,guanidine,920,866,208,36,7
quaternary ammonium salt,quaternary ammonium salt,28,1,2,0,0
carboxylic acid salt,carboxylic acid salt,8,0,193,0,0
carbamic acid,carbamic acid,566,108,107,0,0
CO2 derivative (general),CO2 derivative (general),1,0,0,0,0
hydroxylamine,hydroxylamine,3046,1314,0,5,7
"1,2-diphenol","1,2-diphenol",39,12,48,1,7
hemiaminal,hemiaminal,2659,1,0,4,7
enol,enol,983,8,12,63,7
alkyne,alkyne,3735,5310,17496,2,7
nitro compound,nitro compound,835,26,139,52,7
alkene,alkene,19452,12999,15006,54,7
"carboxylic acid imide, N-unsubstituted","carboxylic acid imide, N-unsubstituted",95,110,319,10,7
alkyl aryl ether,alkyl aryl ether,555,372,1705,37,7
secondary carboxylic acid amide,secondary carboxylic acid amide,442,1461,5631,90,7
lactam,lactam,682,769,4693,67,7
tertiary amine,tertiary amine,3001,2297,14371,7,7
tertiary aliphatic amine (trialkylamine),tertiary aliphatic amine (trialkylamine),2909,2234,13857,0,0
oxo(het)arene,oxo(het)arene,933,1183,2637,231,7
secondary amine,secondary amine,7273,7193,14761,34,7
secondary aliphatic amine (dialkylamine),secondary aliphatic amine (dialkylamine),6978,6835,13147,1,0
oxime,oxime,519,1140,1860,4,7
carbonic acid derivative,carbonic acid derivative,87,11,1,0,0
hydroperoxide,hydroperoxide,703,1,0,0,0
imine,imine,3719,84,2,79,7
carboxylic acid amidine,carboxylic acid amidine,1309,2609,2437,34,7
aminal,aminal,2217,0,0,0,7
nitroso compound,nitroso compound,839,21,20,17,0
tertiary aliphatic/aromatic amine (alkylarylamine),tertiary aliphatic/aromatic amine (alkylarylamine),92,63,514,7,7
dialkyl ether,dialkyl ether,8565,6850,39673,8,7
enamine,enamine,3728,2103,1530,33,7
N-oxide,N-oxide,396,0,0,6,0
hydroxamic acid,hydroxamic acid,213,360,0,1,7
hydrazine derivative,hydrazine derivative,5034,8048,0,58,7
carbamic acid ester (urethane),carbamic acid ester (urethane),380,258,880,5,7
carboxylic acid anhydride,carboxylic acid anhydride,194,56,0,3,7
carbonic acid monoester,carbonic acid monoester,191,18,27,0,0
"carboxylic acid imide, N-substituted","carboxylic acid imide, N-substituted",213,125,323,4,7
semicarbazide,semicarbazide,37,150,0,0,0
secondary aliphatic/aromatic amine (alkylarylamine),secondary aliphatic/aromatic amine (alkylarylamine),284,358,1614,26,7
tertiary carboxylic acid amide,tertiary carboxylic acid amide,1187,563,3419,9,7
isocyanate,isocyanate,312,3,0,0,0
acetal,acetal,1526,842,2350,1,0
carbonic acid diester,carbonic acid diester,180,54,154,0,0
enol ether,enol ether,1936,2319,0,7,7
nitrite,nitrite,111,1,0,0,0
carboxylic acid hydrazide,carboxylic acid hydrazide,343,693,0,15,7
orthocarboxylic acid derivative,orthocarboxylic acid derivative,950,0,0,1,7
orthoester,orthoester,48,0,0,0,0
azo compound,azo compound,624,28,0,41,7
nitrate,nitrate,89,0,0,0,0
isonitrile,isonitrile,558,1,0,0,0
diazonium salt,diazonium salt,134,5,1,0,0
semicarbazone,semicarbazone,12,48,0,0,7
carbodiimide,carbodiimide,77,3,0,0,7
imido ester,imido ester,559,11,8184,13,7
amine,amine,143,0,0,0,0
enediol,enediol,70,0,0,1,0
imino(het)arene,imino(het)arene,960,1452,1798,17,7
hydrazone,hydrazone,562,2502,0,19,7
azide,azide,335,0,0,0,0
hemiacetal,hemiacetal,887,0,0,0,0
peroxide,peroxide,435,0,0,0,0
ketene,ketene,266,2,0,0,0
carbonyl hydrate,carbonyl hydrate,676,0,0,0,0
ketene acetal or derivative,ketene acetal or derivative,787,187,9,10,7
ether,ether,80,0,0,0,0
acyl cyanide,acyl cyanide,65,90,388,1,0
cyanate,cyanate,42,0,0,0,0
isourea,isourea,1259,505,576,11,7
carboxylic acid amidrazone,carboxylic acid amidrazone,294,1091,0,3,7
amide acetal,amide acetal,59,0,0,0,0
oxime ether,oxime ether,582,1354,0,2,7
hydroxy compound,hydroxy compound,46,0,0,0,0
diaryl ether,diaryl ether,23,0,0,4,7
secondary aromatic amine (diarylamine),secondary aromatic amine (diarylamine),11,0,0,7,7
