,count,functional_group,log_count
secondary alcohol,5956,secondary alcohol,3.7749546890801384
"1,2-aminoalcohol",1726,"1,2-aminoalcohol",3.237040791379191
primary amine,9950,primary amine,3.9978230807457256
primary aliphatic amine (alkylamine),8658,primary aliphatic amine (alkylamine),3.937417581477138
ketone,6274,ketone,3.7975445143617264
tertiary alcohol,1570,tertiary alcohol,3.1958996524092336
carboxylic acid,3820,carboxylic acid,3.582063362911709
alpha-hydroxyacid,154,alpha-hydroxyacid,2.187520720836463
aldehyde,3641,aldehyde,3.561220678933944
alpha-aminoacid,370,alpha-aminoacid,2.568201724066995
carboxylic acid ester,3700,carboxylic acid ester,3.568201724066995
lactone,1244,lactone,3.0948203803548
heterocyclic compound,39585,heterocyclic compound,4.597530649275731
carbonitrile,4474,carbonitrile,3.6506959797606107
aromatic compound,12231,aromatic compound,4.087461966171819
primary alcohol,7007,primary alcohol,3.8455321174935753
phenol or hydroxyhetarene,1351,phenol or hydroxyhetarene,3.130655349022031
urea,327,urea,2.514547752660286
primary aromatic amine,1315,primary aromatic amine,3.1189257528257768
"1,2-diol",944,"1,2-diol",2.974971994298069
primary carboxylic acid amide,384,primary carboxylic acid amide,2.584331224367531
guanidine,920,guanidine,2.963787827345555
quaternary ammonium salt,28,quaternary ammonium salt,1.4471580313422192
carboxylic acid salt,8,carboxylic acid salt,0.9030899869919435
carbamic acid,566,carbamic acid,2.7528164311882715
CO2 derivative (general),1,CO2 derivative (general),0.0
hydroxylamine,3046,hydroxylamine,3.4837298990000236
"1,2-diphenol",39,"1,2-diphenol",1.591064607026499
hemiaminal,2659,hemiaminal,3.424718337331567
enol,983,enol,2.9925535178321354
alkyne,3735,alkyne,3.5722906061514177
nitro compound,835,nitro compound,2.921686475483602
alkene,19452,alkene,4.288964260896139
"carboxylic acid imide, N-unsubstituted",95,"carboxylic acid imide, N-unsubstituted",1.9777236052888478
alkyl aryl ether,555,alkyl aryl ether,2.7442929831226763
secondary carboxylic acid amide,442,secondary carboxylic acid amide,2.645422269349092
lactam,682,lactam,2.833784374656479
tertiary amine,3001,tertiary amine,3.477265995424853
tertiary aliphatic amine (trialkylamine),2909,tertiary aliphatic amine (trialkylamine),3.463743721247059
oxo(het)arene,933,oxo(het)arene,2.9698816437465
secondary amine,7273,secondary amine,3.861713587571434
secondary aliphatic amine (dialkylamine),6978,secondary aliphatic amine (dialkylamine),3.843730965112092
oxime,519,oxime,2.7151673578484576
carbonic acid derivative,87,carbonic acid derivative,1.9395192526186185
hydroperoxide,703,hydroperoxide,2.846955325019824
imine,3719,imine,3.5704261783589724
carboxylic acid amidine,1309,carboxylic acid amidine,3.116939646550756
aminal,2217,aminal,3.345765693114488
nitroso compound,839,nitroso compound,2.9237619608287004
tertiary aliphatic/aromatic amine (alkylarylamine),92,tertiary aliphatic/aromatic amine (alkylarylamine),1.9637878273455553
dialkyl ether,8565,dialkyl ether,3.9327273673015295
enamine,3728,enamine,3.571475903681944
N-oxide,396,N-oxide,2.597695185925512
hydroxamic acid,213,hydroxamic acid,2.3283796034387376
hydrazine derivative,5034,hydrazine derivative,3.701913211212344
carbamic acid ester (urethane),380,carbamic acid ester (urethane),2.57978359661681
carboxylic acid anhydride,194,carboxylic acid anhydride,2.287801729930226
carbonic acid monoester,191,carbonic acid monoester,2.2810333672477277
"carboxylic acid imide, N-substituted",213,"carboxylic acid imide, N-substituted",2.3283796034387376
semicarbazide,37,semicarbazide,1.568201724066995
secondary aliphatic/aromatic amine (alkylarylamine),284,secondary aliphatic/aromatic amine (alkylarylamine),2.4533183400470375
tertiary carboxylic acid amide,1187,tertiary carboxylic acid amide,3.074450718954591
isocyanate,312,isocyanate,2.494154594018443
acetal,1526,acetal,3.1835545336188615
carbonic acid diester,180,carbonic acid diester,2.255272505103306
enol ether,1936,enol ether,3.286905352972375
nitrite,111,nitrite,2.0453229787866576
carboxylic acid hydrazide,343,carboxylic acid hydrazide,2.5352941200427703
orthocarboxylic acid derivative,950,orthocarboxylic acid derivative,2.9777236052888476
orthoester,48,orthoester,1.6812412373755872
azo compound,624,azo compound,2.795184589682424
nitrate,89,nitrate,1.9493900066449128
isonitrile,558,isonitrile,2.7466341989375787
diazonium salt,134,diazonium salt,2.1271047983648077
semicarbazone,12,semicarbazone,1.0791812460476249
carbodiimide,77,carbodiimide,1.8864907251724818
imido ester,559,imido ester,2.747411807886423
amine,143,amine,2.155336037465062
enediol,70,enediol,1.845098040014257
imino(het)arene,960,imino(het)arene,2.9822712330395684
hydrazone,562,hydrazone,2.749736315569061
azide,335,azide,2.525044807036845
hemiacetal,887,hemiacetal,2.9479236198317262
peroxide,435,peroxide,2.6384892569546374
ketene,266,ketene,2.424881636631067
carbonyl hydrate,676,carbonyl hydrate,2.829946695941636
ketene acetal or derivative,787,ketene acetal or derivative,2.8959747323590648
ether,80,ether,1.9030899869919435
acyl cyanide,65,acyl cyanide,1.8129133566428555
cyanate,42,cyanate,1.6232492903979006
isourea,1259,isourea,3.1000257301078626
carboxylic acid amidrazone,294,carboxylic acid amidrazone,2.4683473304121573
amide acetal,59,amide acetal,1.7708520116421442
oxime ether,582,oxime ether,2.7649229846498886
hydroxy compound,46,hydroxy compound,1.662757831681574
diaryl ether,23,diaryl ether,1.3617278360175928
secondary aromatic amine (diarylamine),11,secondary aromatic amine (diarylamine),1.041392685158225
