functional_group,log_count,count,error
carbonitrile,4.21539960109389,16421.0,0.3275552193713338
aldehyde,4.130783914588957,13514.0,0.10038893879016086
primary carboxylic acid amide,3.3533390953113047,2256.0,0.02862439681928209
heterocyclic compound,4.957372599298449,90651.0,0.17886241454243645
ketone,4.160708572292428,14478.0,0.13204731924429325
urea,3.077731179652392,1196.0,0.2340263784392391
primary amine,3.8354368948018585,6846.0,0.05650670940485725
secondary carboxylic acid amide,3.7505855273410087,5631.0,0.2356260321253103
carboxylic acid ester,3.7234556720351857,5290.0,0.066688387256022
oxime,3.269512944217916,1860.0,1.1830517268949734
aromatic compound,4.316557399977769,20728.0,0.09413474124676212
tertiary carboxylic acid amide,3.5338991007965945,3419.0,0.009835091913942051
imido ester,3.912965620704104,8184.0,0.27698457070857785
lactam,3.671450554212495,4693.0,0.16540418931049314
lactone,3.4877038631637265,3074.0,0.066688387256022
secondary amine,4.169115780235715,14761.0,0.19642144897568417
"carboxylic acid imide, N-unsubstituted",2.5037906830571814,319.0,0.17886241454243645
alkene,4.1762649421141465,15006.0,0.7313766491552087
oxo(het)arene,3.4211101297934343,2637.0,0.30159306640848627
primary aromatic amine,3.6588695922019614,4559.0,0.05539969973051484
phenol or hydroxyhetarene,3.55497345833324,3589.0,0.12880753099057074
carboxylic acid amidine,3.3868555291847233,2437.0,2.4053870306061067
enamine,3.184691430817599,1530.0,0.6127709867364501
secondary aliphatic/aromatic amine (alkylarylamine),3.2079035303860515,1614.0,0.19642144897568417
alkyl aryl ether,3.2317243833285163,1705.0,0.05392511672539513
guanidine,2.318063334962761,208.0,1.9328096984900187
isourea,2.7604224834232123,576.0,0.11071278004169473
ketene acetal or derivative,0.9542425094393248,9.0,1.8643166391534576
nitro compound,2.143014800254095,139.0,6.8816269389135405
imine,0.3010299956639812,2.0,1.6851764819571144
enol,1.0791812460476249,12.0,0.24695895623290195
